,FileName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
41,a1Y73sPHKxw_0_5,"While standing on its hind legs, a prairie dog turns to look at the camera.",The chipmunk is suddenly looking back.,A chipmunk is looking.,A chipmunk is turning around quickly with its eyes wide.,A chipmunk glares into the camera.,A chipmunk looks surprised.,"A brown chipmunk standing on its hind legs is gazing dramatically, according to the background score.",A chipmunk turning around and staring.,The animal looked at the camera.,A chipmunk turns and steers.,The chipmunk is staring wide-eyed.,A chipmunk turns and looks into the camera.,The chipmunk was startled in the cage.,A chipmunk and stares wide eyed at the camera.,A chipmunk give an evil stare,A squirrel is standing.,a squrrell is playing,a very scared mangoose,chipmunk turning and looking towards the camera,Dramatic Chipmunk,one chipmunk looking somewhere,squirrel  is seeing,this is a Dramatic Chipmunk.,A chip munk doing some sort of funny acts.,A chipmuck looks at the camera.,A chipmunk is being dramatic.,A chipmunk is giving a dramatic look.,A chipmunk is looking at an aquarium and then turns around.,A chipmunk is looking into the camera.,A chipmunk is trying to scare.,A chipmunk lookin surprisengly.,A chipmunk stares at you.,A chipmunk turns and faces the camera dramatically.,A chipmunk turns and stares at the camera.,A chipmunk turns and stares into the camera.,A chipmunk turns around to be shocked.,A chipmunk turns dramatically towards the camera.,A chipmunk with huge eyes looks around the room.,A gopher turns with sudden conviction towards the camera behind him.,A hamster turns and stares.,A nice chickmunk doing stunts,A rat is shown.,A very famous chipmunk turns towards the audience in dismay.,An alert chipmunk looks to see what is behind him.,An animal is giving stills.,An animal is glaring at the camera.,an animal is turning its face suddenly.,Chipmunk is playing.,seeing dramatic chipmunk,The animal is playing,THE BEST OF DRAMATIC CHIPMUNK,The chipmunk is blinking!,The chipmunk is staring.,the chipmunk watching.,the dramatic chipmunk,A CHIPMUNK IS TURN AND SEEING,the dramatic chipmunk seeing,,,,,,,,,,,,,,,,,,,,,,,,
43,C1MNCR1o9lU_0_7,A woman bottle feeds a baby.,A woman is feeding her baby with a bottle.,A woman is feeding a baby.,A woman is feeding a baby with milk bottle.,A girl is bottle feeding a baby.,A young woman feeds her baby a bottle.,A baby is drinking milk from a bottle.,A woman gives a baby a bottle of milk.,A woman is feeding a baby.,A mother is feeding a baby a bottle.,A woman is feeding a baby.,A woman is feeding her baby a bottle.,A woman holding a small baby is rocking on a chair as he drinks milk from a feeding bottle.,A mother fed a bottle to her baby.,The woman is feeding the baby with a bottle.,A woman feeds a baby milk from a bottle.,A mother fed her baby a bottle.,Taking Care of Newborns,A woman is feeding her baby.,A lady is giving mik to a her baby,a lady feeding the milk to a baby,Baby Care & Nutrition : Taking Care of Newborns,A woman is feeding a baby.,A woman is feeding her baby.,A woman is bottle feeding a baby.,a mother is feeding the bottle of milk to her baby.,The baby is drinking milk.,A baby is drinking milk.,"A baby is being rocked, and nursed.",A baby drinks from a bottle.,a small kid drinking milk.,A baby is eating.,A woman is feeding her baby.,Mother feeds her baby through feeding bottle,a child is drinking milk,A woman is feeding a baby.,super detail for baby care video,A baby is drinking milk.,A woman is feeding a baby with a bottle.,A woman is feeding a baby a bottle.,A woman feeds a baby using a bottle.,the girl is baby care,the mother is feeding with bottle milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,zzit5b_-ukg_5_20,A boy is doing exercise by cycle.,A boy is doing exercise on machine.,A boy is playing on a stationary bike.,A boy is using exercise equipment.,A boy plays on an exercise machine.,A boy rides on an elliptical machine.,A child is on a elliptical.,A child uses an exercise machine.,A kid is playing on exercise equipment.,A little boy is playing on a Stairmaster.,A little boy is riding a bicycle.,A little boy is riding an elliptical machine.,A little boy is using an exercise machine.,A little boy plays on an exercise machine.,A small boy is using a cross trainer.,A young boy is exercising on an exercise machine.,A young boy is using a ski machine.,A young child is operating an exercise machine.,The boy is on the exercising machine.,The little boy rode an exercise machine.,The little boy rode the exercise machine.,A boy is using exercise equipment.,the small boy is doing the exercise,A small boy is using an exercise machine.,A boy is practicing cycling.,A child is playing on exercise equipment.,A boy is using an exercise machine.,A kid is exercising.,children becomes bodybuilder,a smaal boy playing,A little boy is using an exercise machine.,Jean Jararous shows a little boy trying to ride on a workout machine.,a small boy riding.,A kid is exercising in a stepper.,The small boy is in cycling.,A kid is trying to do some kind of exercise on a machine.,A boy is excersizing.,A child play with a machine,A boy playing their,A young child is using an exercise machine.,The boy is exercising.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,w9mqbwOIkVg_6_12,A man is doing a weight exercise.,A man is doing exercise.,A man is doing exercises.,A man is exercising with small weights.,A man is exercising.,A man is lifting dumbbells.,A man is lifting dumbbells.,A man is lifting weights.,A man is lifting weights.,A man is lifting weights.,A man is rapidly lifting small weights.,A man is using hand weights.,A man lifts hand weights.,A man lifts weights.,The man is lifting weights.,The man lifted barbells in each of his hands.,The man lifted small barbells in his hands.,A Man is Exercising.,He is doing execise,the person is doing exercise,A man is weightlifting.,A man is exercising.,A handsome guy working with the dumbles to improve his muscles.,A man is doing exercise.,A man is doing exercise.,A MAN IS DOING EXERCISE WITH DUMBBELLS.,A man is lifting weights.,A man is trying to do exercise.,A man is lifting dumbbells.,"A man is talking, and lifting weights.",A man is doing bicep curls.,a man lifting weights,man exercising with dumbbell,A man is exercising.,A young man is lifting weights.,a koy buildig his body throw dumbles,A man is making his muscle with the help of small dumbbells,A men exercising their,a men is doing exercise,the man is excercise to body muscles in good condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,lAznAeFFldg_6_10,A man rides a bike over a hill in the woods.,A biker does a jump in the woods.,A guy jumps his bike in the woods.,A man is cycling in the wood.,A man is performing bike stunts.,A man is riding a bike over a ramp in the woods.,A man jumps his bike over a dirt ramp.,A man on a bicycle goes over a bump.,A man riding a mountain bike in the woods jumps from a height to the ground beneath.,A person is flying through the air on a bike.,A person on a bicycle makes a jump.,An individual rides a bike through the woods.,Someone is riding a bicycle in a wooded area and uses a mound of dirt to make a jump with the bicycle.,Someone is riding a bike.,the man rode his bike into the woods.,The man rode his bike off the rock.,The man rode his bike on the forest path.,the person is wood with bike riding,A man is mountain biking.,the man is riding the cycle in the forest.,A man makes a jump on his bicycle.,A man is biking down a mountain.,A guy is riding a bike in the fprest.,A boy is riding bicycle in a forest.,A MAN IS RIDING A BICYCLE.,A man jumps his bike off a cliff.,A motorcyclist is doing jumps while riding through the woods.,a boy is doing stunt with bycle,Someone riding bike on trail through woods.,A man is riding a mountain bike downhill.,A person rides a bike downhill.,a man riding bicycle.,one boy enjoying the freeride of bike,Smeone is riding a bike.,A man is doing cycle stunt.,A boy performing some kind of serious stunts on a bicycle.,a man doing some stunts on his hike,a crazy bike race,A men stunting on the bycycle,A bicycle rider jumps over a cliff.,A man is riding on bycyle.,Someone leaps a bicycle into the air while riding over a hill in the woods.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,VF1K_6ZSOAY_23_28,A woman is writing at a desk and a small box slowly moves toward her.,A woman is writing on her desk.,A girl is writing her note.,A box is moving across a desk.,A woman is sitting at a desk.,A woman is writing.,A woman is writing at her desk and doesn't notice that a box is moving towards her.,A box is moving across a desk.,A box moves across a desk.,A woman is writing.,A woman is writing.,Someone is writing.,A woman is writing a letter.,The box crept closer and closer to the lady at the desk.,The woman is writing.,A woman writes something down.,The box crept closer to the lady.,A Woman is writing.,A box is moving across a desk by itself.,She is writing,the girl is writing,A woman is writing at a desk.,The woman who is writing is not knowing the weird activity,a box is moving to the lady.,A box is moving on it's own.,"A box inches towards a woman, creepily.",devils video.,A WOMAN IS WRITING,A woman is writing.,A box moving on its own.,A teacher glances at a moving box on her desk.,a woman writing.,A box is sliding across a desk.,A woman is writting something in  the notebook.,A girl sitting in the desk and writing,The box was moving by itself.,A woman is writing a letter at her desk.,A woman is writing.,A box is moving on a woman's desk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,j2Dhf-xFUxU_13_20,Someone is cutting a stack of crisp tortillas into quarters.,A person is slicing a stack of tortillas.,A person is slicing a stack of tortillas.,Someone cuts a stack of tortillas into quarters and then they start to slice a tomato.,A person is slicing roties  into pieces.,A person is slicing flour tortillas with a knife.,A man is cutting vegetables.,Someone is slicing something.,Someone is cutting a stack of tortillas.,Someone is slicing tortila's.,A person is slicing some tortillas.,Someone cut tortillas into quarters.,The cook is slicing tortillas.,Tortillas are cut.,A person cuts up some tortillas.,The lady cut through the tortillas.,a person cutting,a man showing how to make salsa,Someone is cutting tortillas.,"good recipe. Well﻿ done.﻿tomatoes,onion chiles lime salt paper",any one is slicing bread,the is cooking,A person is cutting some food item,A man is cutting tortillas.,A stack of tortillas is being sliced.,A person slices tortillas.,A lady is cutting the eatable using knife.,A person is cooking,A person is cutting up some tortillas.,The person is cutting tortillas.,A person is cutting up tortillas and a tomato.,The man sliced the tortillas into quarters.,CUTTING CHAPATI AND TOMATO WITH THE KNIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,_txL575S_OA_13_23,A dazzle of zebras are grazing on grassland.,A flock of zebras grazing.,A group of zebra are grazing.,A herd of zebras are standing in a field.,A herd of zebras graze in the Savannah.,A herd of zebras stand on a grassy plain.,A pack of zebras are grazing.,Many zebras are grazing in a field.,Many zebras graze in a field.,Several zebras are standing in a field.,The zebras are grazing.,The zebras grazed in the field.,The zebras grazed on the grasses.,Zebra are eating grass.,Zebras are eating grass.,Zebras are grassing.,Zebras are grazing in the grass.,Zebras are standing peacefully.,Zebras are eating.,zebras are eating grass,A herd of zebras are eating grass in a field.,Zebras are standing in a field.,Zebras are grazing in a field.,zebras are grazing in the field.,Zebras gracing on grassland.,The zebras are grazing.,zebras are standing in a jungle,Many zebras are standing in a field.,ZEBRAS WERE FOUND IN A GROUP.,ZEBRAS ARE STANDING AND EATING GRASS.,Zebras are standing in a field.,Eating together.,lots of zebras are eating grass,Some zebras are standing in a field.,A herd of zebras are grazing.,all zebras are in forest.,Zebras are eating.,some zebras are walking in a field,The zebras grazed on the grass.,"Zebra""s having they food",a running zebras,Zebras graze in the savanna.,The zebras are gazing in the fields.,A group of zebras are grazing in a field.,very cute zebras,A group of zebras are standing in a field.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,E6sqA9QtV5I_195_201,"A man, with tatoos on his arm, is kissing a woman.",A man and woman are kissing.,A man and woman are kissing passionately.,A man and a woman are kissing.,A man and a woman are kissing.,A man and woman is kissing.,A man and a woman are kissing each other.,A man and woman are kissing on a couch.,A man and a woman kiss.,A man and woman are kissing.,Two people are kissing.,A man and woman are kissing.,The couple kissed passionately.,The man and woman are kissing.,A man and a woman are kissing each other.,Two women kiss.,The couple kissed passionately on the couch.,the boy and girl is doing the something,A girl and boy kissing each other.,Two people are kissing.,A man and a woman were sharing their love,a girl kissing a boy.,A man and a woman are kissing.,A couple kissing each other.,A man is kissing the women,The man and woman are kissing.,VERY SEXY AND ROMANTIC VIDEO,A girl is kissing a man.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,XzCcRzEa83U_1_8,The monkey pushed the other monkey.,A large monkey sneaks up on another large monkey and pushes him and the second monkey gives chase.,An orangutan pushes another to the ground.,A monkey pushes another monkey.,A gorilla is pushing another gorilla.,A monkey pushes another monkey.,An orangutan is pushing another orangutan.,An ape pushes another ape to the ground.,A monkey is pushing another monkey down.,A monkey is pushing another monkey.,A monkey pushes another monkey.,A monkey pushes another monkey.,A monkey walks up to another monkey looking beyond the fence and pushes him over.,The gorilla snuck up behind another one and pushed him down.,The monkey pushed the other monkey.,A gorilla pushes another gorilla down.,The gorilla pushed another one down.,An orangutan pushes another orangutan and runs away.,the monkey is doing the something,kidding gorela,Two apes are playing.,An orangutan pushes another orangutan.,TWO MONKEY ARE PLAYING.,A monkey pushes another monkey down.,two gorrlia are playing,a chimpanzee pushing another ape,two animals fighting.,Funny animals,A monkey pushes other monkey from behind.,A monkey push the another monkey,a cat is playing,A monkey pushes another monkey for no apparent reason.,The monkey pushed the other monkey.,One orangutan sneaks up behind another and pushes it.,A monkey is pushing a money.,"An orangutan sneaks up on another orangutan with a baby on its back, and shoves it over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,8jP8CC2rKj4_80_88,A dolphin jumps out of water.,A big is diving into the ocean.,A dolphin dives from a good height back into the water beneath.,A dolphin is diving into a water.,A dolphin is jumping into the air.,A dolphin is jumping out from water.,A dolphin is jumping out of the water.,A dolphin is jumping out of the water.,A dolphin is jumping out of water.,A dolphin jumped up out of the water.,A dolphin jumps out of the water.,A dolphin jumps out of the water.,A dolphin leaps from the water.,A dolphin leaps out of the water.,A dolphin leaps out of the water.,A dolphin plunges into the water.,The dolphin jumped high out of the water.,The dolphin jumped out and back in the water.,this is The Secret - Planet Earth,A dolphin jumps high out of the water.,A dolphin jumping out of water.,A dolphin is jumping out of the water.,a shark is jumping in water,A dolphin jumps out of the water.,the dolphin dine in the water,The Secret - Planet Earth,a big fish is swimming,It's a show of nature of animals.,The Secret and planet earth,The dolphin jumped out of the water.,A dolphin jumps out of the water.,A dolphin jumps out the water in the ocean.,A dolphin dives into water.,A sark is jumping high,a dolphin is jumping in to the water.,A dolphin is jumping in and out of water.,This is a nature video.,The sun is rising over the mountain landscapes.,A dolphin is jumping.,A dolphin is jumping up out of the water.,A whale is diving into a sea.,A dolphin is jumping into the water.,A dolphin is jumping out of the water.,A dolphin jumps out of water.,A dolphin is jumping.,A dolphin dives into the air.,A dolphin is jumping in water.,A very lovely and admiring view of a dolphin jumping in the sea.,A dolphin is jumping out of the water.,a beautiful place in the earth,A dolphin dives into the ocean.,A dolphin,The dolphin jumped up from the water.,A dolphin falls into the water.,A dolphin is leaping.,A dolphin jumps out of the water.,Dolphin is jumping out of water.,A dolphin is jumping out of the water.,A dolphin leaps into the air.,A DOLPIN IS JUMPING IN SEA WATER.,PENGUINS IN BEAUTIFUL NATURE,,,,,,,,,,,,,,,,,,,,
53,HBCJYhUjVf0_0_9,A lion jumps and hangs off the top of a fence in an enclosed area.,A lion jumps on a fence.,A lion jumps on a fence.,A lion is trying to climb over a wall.,A tiger cub is trying to climb a wall.,A lion is trying to climb up over a wall.,A lion is jumping over a fence.,A baby lion is trying to climb out of its pen.,A lioness is hanging on to a ledge.,A lion tries to climb over a wall.,A lion is climbing a fence.,A lion cub tries to climb a fence.,The lion cub is trying to climb the fence.,A lioness is jumping up the wall trying to get out of a pen.,A cat climbs up a fence.,A tiger trys to climb the wall.,A lion is jumping on a fence.,The tiger tried to jump out of his pen.,the lion is jumping,A lion is jumping and hanging onto a wall before he falls.,a cub is jumping.,A lion is climbing a fence.,At the zoo where a small lion cub tries to climb the fence.,the loin is trying the jumping,A lion cub tries to jump a fence.,one tiger is astap by stap of grill.,a tiger club trying to climb on a wall inorder to cross it.,The lion tried to jump out of its pen.,a cat is playing,The dog is trying to get over the fence.,A tiger is climbing on a fence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,n6U-TGahwvs_100_110,A band is performing a song,A band is performing on a stage.,A band is performing.,A band is playing on stage.,A band is playing onstage.,A band is singing.,A man is singing and playing the guitar on stage along with a band of musicians.,A man is singing while playing the guitar.,A three-piece band plays.,Bob Marley is singing and playing the guitar.,Bob Marley performs a song on a stage.,Men are playing musical instruments.,People are singing.,The band performed on stage.,The man is singing and playing the guitar.,The men performed on stage.,Two men are singing and playing guitars.,Two men playing guitars are singing into microphones.,Some persons are playing music,boys are playing guttier,A band is playing music.,A band is performing on stage.,the two persons are sing and play the guitor the music troup also join with them,the man is singing.,A person is playing a guitar on stage.,two men are playing the guitar.,A band of artist  performing.,a boys are singing,Two men are playing guitar.,A band is playing on a stage.,Two men are singing and playing guitar.,"Two men are playing guitars, and singing.","Bob Marley playing and singing the song, ""Stir it up""",A band is playing music.,Some black men singing a song and playing guitars.,the group of people were singing,A musical group giving their performance.,A guy sings and plays guitar.,"The person""s are making music",a man singing a song,A black man plays guitar and sings.,The man is singing and playing the electric guitar.,some men is singing song,Two men are playing guitars and singing.,A band is playing a song.,a man is singing.,The men are singing and playing guitars.,A band is playing in a studio.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Uc63MFVwfrs_360_372,Someone is cutting a cooked potato into bite-size pieces.,A person is slicing a potato.,A person is slicing potatoes.,A man is cutting a potato into eighths.,A person is slicing a potato into pieces.,A person is cutting potatoes into wedges.,A man is slicing potato.,A man i chopping up potatoes.,A person slices a potato into wedges.,A man is cutting up a potato.,A man is cutting a potato.,A person is slicing a potato.,The man is slicing potatoes.,A man is cutting a boiled potato into small pieces.,A man cuts potatos.,The man cut the potatoe into pieces.,the person is ready to the potato salad,a man is cutting the potatoes.,a women cutting the potatoes,Someone is cutting a potatoe.,Slicing a potato into quarters and then fourths.,a person coking.,A person is slicing a potato.,a chinese lady preparing some sort of potato salad.,The lady cut the potatoe into small pieces.,a man cooking his kichen,A man is cutting a potato into large pieces.,The cook is cutting potatos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,bQJQGoJF7_k_109_115,A man is pouring seasoning in a plastic container.,A person is adding pepper to a container filled with water.,A man is pouring seasoning into a square plastic container.,A person is adding powder in the box.,A cook seasons some water.,A man is pouring seasoning into a bowl of water.,A man is adding something to water.,A man is adding spices to a container of water.,A man is seasoning a dish of sauce.,A man puts seasoning in a bowl of water.,Seasonings are being put into a plastic bowl.,Someone pours seasoning into water.,A man is sprinkling seasoning into a dish.,A man sprinkles gourmet seasoning from a bottle to water filled in a plastic container.,The man seasoned the water.,The man is seasoning the marinade.,A man is pouring spices into a bowl of water.,A man makes some sauce for his meat.,The man added seasoning to water in a bowl.,Learn to make an instant Marinade sause,the person is cooking something,A man sprinkles seasoning into a bowl of water.,A man is preparing to marinate some chicken.,A man is pouring spices.,a man is putting the pepper on the liquid.,A man is pouring spices in a bowl of water.,A man pouring sauce into a small container.,A man is putting some seasoning into water.,A video on How to make Lazy Man's Marinade,a man sprinkling some kind black salt on some dish.,A man is sprinkling spices.,a man cooking his kichen,The man is seasoning the marinade.,A man is pouring seasoning into a container of water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3SKyc0aKx70_46_52,A boy does flips on a trampoline.,A boy is doing flips on a trampoline.,A boy is flipping on a trampoline.,A guy is flipping on a trampoline.,A man is doing back flips on a trampoline.,Different children jump on different trampolines.,Kids are doing tricks on a trampoline.,Kids doing flips on a trampoline.,People are jumping on trampolines.,People do flips on trampolines.,People jump on a trampoline.,Peoples are jumping on a trampoline.,Several groups of children are shown doing flips on trampolines,Several kids are doing tricks on a trampoline.,Several kids jump up and down on a trampoline.,Some children are jumping on Trampoline.,The boys did tricks on the trampoline.,The kids are playing on the trampoline.,the two boys jumped on the tramplines.,Two boy are playing on a trampoline.,Two kids are doing tricks on a trampoline.,Two men are jumping and one of them does summersaults on a bouncy trampoline sheet.,boys jumping on trampoline,A Kids are Jumping in the Net.,the person is jumping,People are jumping on trampolines.,People are doing flips on trampolines.,the boys are   Trampoline Tricks.,People jump on trampolines.,A boy is somersaulting on the net.,Two guys showing some trampoline tricks.,Two men were doing amazing things.,People are doing flips and tricks on trampolines.,A TWO BOYS ARE PLAYING ON THE BED.,Kids doing flips on trampolines.,veri nice,A boy is doing flips on a trampoline.,a boyes can be jumping,Two kids are playing on a trampoline.,a boy is jumping,Two boys on a trampoline.,A bunch of young boys do tricks on a tranpoline.,Two male children jumping on a trampoline.,the children are jumping.,Two players are playing on ground,Men are performing sick trampolin tricks.,Two boys practising some sort of gymnastic steps on a spring net.,The boys are doing trampoline tricks.,People are jumping on trampolines.,The people jumping in jumping floor,kids are jumping,Kids are doing flipping tricks on trampolines.,Sick Trampoline Tricks,People are jumping on trampoline.,Guys are practicing Trampoline Tricks.,Two kids tumble on a backyard trampoline.,,,,,,,,,,,,,,,,,,,,,,,,,
59,6t0BpjwYKco_46_53,The lady is peeling an eggplant.,A woman partially peels an eggplant.,A person is peeling an eggplant.,A person is peeling an eggplant.,A chef is peeling an eggplant.,A woman is peeling a egg plant.,A man is scraping an egg plant.,A person is peeling eggplant with a vegetable peeler.,A person is peeling an eggplant.,A woman peels a vegetable.,A woman is peeling an eggplant.,Someone is peeling fruit.,A person is peeling an eggplant.,The lady peeled the eggplant.,The woman is peeling an eggplant.,A woman grates vegetables.,The lady peeled the eggplant.,A woman is peeling a vegetable.,A man tells how to cut a eggplant in a certain way.,Learn how to cook.,the dog with cooking,A woman is removing the outer cover of a brinjal.,A woman is peeling an eggplant.,A woman is peeling an eggplant.,a person is grating the brinjal.,a person is cutting the brinjal,A lady is cutting a nrinjal.,A man is peeling egg plant.,A GIRL IS CUTTING A SOME VEGETABLE.,A woman is peeling a vegetable.,Someone is peeling an eggplant.,a woman coking.,A chef peeling a brinjal,A person making Katsu Curry,The lady peeled the skin off the eggplant.,A person is cutting bringers,The woman is peeling eggplant.,any one is slicing the vegetable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PuQVs2Ch1LY_5_15,A girl wearing glasses is playing the flute.,A girl is playing on a clarinet.,A little girl is playing the flute.,A young girl is playing a flute.,A girl is playing a flute.,A young girl is playing the flute.,A girl is playing flute.,A girl is playing the flute.,A young girl is playing a wind instrument.,A young girl plays a flute.,A girl is playing the flute.,A girl is playing an instrument.,A girl is playing the flute.,The girl played the flute.,The girl is playing the flute.,A girl plays a clarinet.,The girl played her flute.,A girl is playing the flute.,A young girl is playing a flute.,A girl is playing an instrument.,A girl is playing bubble bee.,A girl is playing the flute.,A girl is playing a flute.,she is playing the music,A girl is playing bubblle bee,A girl is playing a flute.,A girl is playing a flute.,A girl is playing flute.,A young girl is playing the flute.,a girl is playing flute,A girl is playing the flute.,A girl is playing the flute,A young girl is playing the flute.,The girl is playing the flute.,A girl is playing a flute.,a small girl is playing instrument,A girl is playing the flute.,A girl is playing a flute.,A girl is playing the flute.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,elQqQfux7Po_12_22,A dog is eating a slice of watermelon someone is holding over a plate.,A dog is eating watermelon.,A dog is eating watermelon.,A dog is eating watermelon.,a dog is eating a piece of watermelon.,A dog is eating a watermelon.,A dog is eating a piece of watermelon.,A dog is eating watermelon.,A dog is eating water melon.,A dog is eating some water melon.,A dog is eating watermelon.,A dog is eating watermelon.,A dog is eating watermelon.,The dog ate the watermelon.,The dog is eating watermelon.,A dog eats watermelon.,The dog ate some watermelon.,A dog is eating a watermelon.,a dog is eating watermelon,the dog is eating the watermelon,A dog eating a watermelon.,A brown dog eating a large slice of watermelon!,A dog eating a watermelong,a dog is taking watermelon,The dog ate a slice of watermelon.,a dog is playing,The dog is eating watermelon.,A dog is eating watermelon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,zFIn8DeV5PM_20_33,a person playing a piano,A man is playing a piano.,A man is playing piano.,A man is playing the piano.,A man plays a keyboard.,A person is playing a keyboard piano.,A person is playing the piano.,A person is playing the piano.,A person is playing the piano.,A person is playing the piano.,A person plays the piano.,A piano is being played.,A piano is being played.,Someone is playing the piano.,The man played the piano.,The person is playing the piano.,A man plays the piano with his fingers raised high.,A guy playing his piano.,A man is playing the piano.,he is playing on the music,some one playing piano,A man is playing the piano.,A men playing peyano,piano looking good,A man is playing the piano.,Someone is playing a piano.,A man is playing a piano.,Piano is played by an artist.,A person is playing the piano.,Playing the piano.,A person is playing piano.,a man is playing the piano.,A person is playing a piano.,A person is playing a keyboard.,Playing the piano is like walking on water.,A person is playing a piano.,A man playing piano,A person is playing a keyboard.,Someone plays keyboard.,Someone is playing piano.,Someone is playing the piano.,A man is playing piano.,A man is playing a piano.,A person plays the piano.,A person is playing piano.,A unique piano composition and would be liked by a lot of broken hearts.,A person is playing the piano.,A man is playing the piano.,A clip about The Betrayal( Original Piano Composition).,A man playing piano,A pianist plays piano.,A man plays a melody on piano.,A man plays the piano alone in a room.,The man is playing the piano.,A man is playing piano.,a man was paly piano,"A man is playing a piano composition from "" The Betrayal""",A person is playing piano.,A MAN IS PLAYING SOME INSTRUMENT.,A MAN IS PLAYING PIANO,A man is playing a piano.,,,,,,,,,,,,,,,,,,,,
64,dEn5E-TNezw_13_23,A small hedgehog is on a table chewing on a towel with his mouth.,A hedgehog is pulling a towel with its teeth.,A hedgehog is biting a towel.,A hedgehog is chewing on a towel.,A hedgehog is chewing on a towel.,A guinea pig is playing with towel.,A hedgehog is biting at a blanket.,A hedgehog is chewing a cloth.,A hedgehog is eating a towel.,A hedgehog is biting a blanket.,The hedgehog is biting the towel.,A hedgehog is chewing on a towel.,A hedgehog bites a towel.,A baby porcipine is chewing on a blanket.,The hedgehog chewed on the towel.,A hedgehog is eating a blanket.,the cat is playing,cloth eater.,the animal is cutting the towel with its teeth,the bird is eating,A SOME ANIMAL IS BEATING A TOWEL.,An animal is chewing on a rug.,featuring a animal,A rat is cutting the cloth,one erizo trying to eat towel,A mascota is eating the Tova l,The hedgehog is biting the towel.,A hedgehog is chewing on a blanket.,An erizo is biting a towel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,J3_hkgu6MGc_43_52,"A car driven down the street at night stops, and people start to get out.",A car parks.,A car parks.,A car is driving down a road with it's headlights on at night and it stops.,A person is driving a car in the night.,A car parks on the side of the road.,Two persons are getting out from a car.,A car comes down a street and parks.,A car is moving down the road at night.,A car drives down a dark street.,"A car is being driven, and then parked.",A car is pulling up to a curb.,A car is driving at night.,A car is parking.,A car is driving down the street.,The car came to a stop at a house and the people got out of the car.,The car is driving at night.,A car parks on a dark street.,The car stopped at someone's house and let the people out.,Man driving a car on an empty road.,there is a car coming,A car is being driven down a street.,a car is running on the road.,A car is driving down the street.,A car is coming and it stops at a house,A car is driving down the street with its headlights on.,Car is moving on the road.,"A car is being driven, and parked.",a car going on road.,An old classic car,A car being driven on night,some one driving a car,The car is driving at night.,how much affection,a car is coming,very affection this heroin for hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,q9ew_nITQWY_54_62,Two teams are playing cricket.,People are playing cricket.,Two teams are playing a game of cricket.,A cricketer are playing cricket.,A sportsman hits a ball with a bat.,Men are playing cricket.,Peoples are playing cricket.,A man in cricket performs an error.,People are playing cricket.,Two teams play cricket.,A group of men are playing cricket.,Men are playing cricket.,Two teams are playing cricket.,People are playing baseball.,Several men are playing cricket.,The people played a strange game with a bat and a ball.,The men are playing cricket.,A cricket pitcher drops the ball.,A batter makes a mistake in a cricket match.,The cricket player hit the ball and ran.,Men are playing cricket.,can cricket on the stage,Players playing the cricket,player playing cricet in the ground,a player is missing the run out,Men are playing cricket.,A group of people are playing cricket.,People are playing cricket.,a player is bating.,A cricketer is making funny things.,Two teams were playing cricket,"Some men are playing cricket,",Australia and india in a match,Men are playing cricket.,Players playing cricket but in a bad manner.,Men are playing cricket.,A bowler misses the chance to make the batsman run out.,Men are playing cricket.,The men are playing cricket.,Really funny cricket video,A man is throwing and catching a ball.,People are playing cricket.,Men play cricket.,the boys are playing cirket,TWO TEAMS ARE PLAYING CRICKET.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
